                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9204,                 5.8483,                 1.6386,                 0.0024,                0.85714,                0.30348,                0.12241,                 1.7378,                 7.2676,                 1.3249,                0.00026,                0.00026,                0.00026
                      2,                  1.744,                 4.9954,                 1.5262,                0.00861,                0.92857,                0.51279,                0.24118,                 1.6425,                 7.6139,                 1.2378,             0.00052931,             0.00052931,             0.00052931
                      3,                 1.6956,                 3.6738,                 1.4111,                0.70497,                0.30952,                0.39913,                0.16425,                 1.7049,                 7.4414,                 1.4664,             0.00078753,             0.00078753,             0.00078753
                      4,                 1.7772,                  4.031,                 1.5172,                0.40068,                 0.2708,                0.25966,                0.11145,                 1.7977,                 8.3124,                 1.5431,              0.0010347,              0.0010347,              0.0010347
                      5,                 1.8793,                 4.6376,                 1.6343,                 0.1798,                0.11905,                0.04401,                0.01313,                 2.1366,                 8.0396,                 2.0892,              0.0012707,              0.0012707,              0.0012707
                      6,                 1.7661,                 3.6217,                 1.5168,                0.26911,                0.30688,                0.20643,                0.06756,                 2.1372,                 7.0754,                 1.8626,              0.0014957,              0.0014957,              0.0014957
                      7,                 1.7075,                 3.2299,                 1.4633,                0.64501,                0.57143,                0.59604,                0.24863,                 1.8501,                 6.5783,                 1.7079,              0.0017095,              0.0017095,              0.0017095
                      8,                 1.8061,                 3.0807,                 1.5103,                0.62324,                0.63031,                0.63445,                0.28756,                 1.8384,                 5.0194,                 1.6995,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6774,                 2.8075,                 1.4182,                0.74821,                0.33333,                0.42923,                0.20007,                 1.7453,                 6.5751,                 1.5424,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.7101,                 2.6539,                 1.4915,                 0.0414,                0.14286,                0.02441,                0.01028,                 2.0377,                 55.789,                 1.9638,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7747,                  2.614,                 1.5808,                0.15777,                 0.2619,                0.18529,                0.08541,                 1.8565,                 32.809,                 1.8782,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.6422,                 2.1956,                 1.4466,                0.19129,                0.24224,                 0.1453,                 0.0682,                  2.038,                 5.7587,                 1.9139,               0.001604,               0.001604,               0.001604
                     13,                 1.7167,                 2.1014,                 1.5492,                0.38637,                0.52381,                0.40245,                0.19088,                 1.7829,                  6.163,                 1.6067,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.7195,                 2.3213,                 1.4919,                0.69428,                 0.4327,                0.51219,                0.27583,                  1.755,                 3.0592,                 1.5938,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6821,                 1.9553,                 1.4722,                0.87477,                0.40476,                0.55375,                0.27989,                 1.7811,                 2.9007,                 1.5885,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.6447,                 1.8487,                 1.4221,                0.86463,                0.54762,                0.69125,                0.36597,                 1.8048,                 3.2747,                 1.4706,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.6628,                 1.7779,                 1.4431,                0.80604,                0.59372,                0.70235,                  0.365,                 1.6666,                 2.7208,                 1.3651,               0.001406,               0.001406,               0.001406
                     18,                 1.6118,                 1.6879,                 1.3915,                0.86588,                0.59524,                0.64621,                0.28859,                 1.9689,                  2.893,                 1.6185,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.5521,                  1.531,                 1.3695,                0.65653,                0.59524,                0.58762,                0.25928,                 1.9081,                 3.2932,                 1.6336,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.5434,                 1.5971,                 1.3868,                0.96613,                0.67926,                0.74765,                0.35284,                 1.8713,                  2.073,                 1.5923,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5009,                 1.5352,                  1.355,                0.87542,                0.61905,                0.65227,                0.26463,                 2.0617,                 2.4135,                 1.6989,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.5178,                 1.4384,                 1.3425,                0.70785,                 0.7381,                0.74167,                0.38976,                 1.7238,                 2.2559,                 1.4205,               0.001208,               0.001208,               0.001208
                     23,                 1.4843,                 1.4321,                 1.3753,                0.79937,                0.69048,                 0.7223,                0.40053,                 1.7453,                 2.0572,                 1.4018,              0.0011684,              0.0011684,              0.0011684
                     24,                  1.481,                 1.4124,                 1.3333,                0.59946,                 0.7619,                0.74421,                0.35468,                 1.8477,                  2.246,                 1.5771,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.4857,                 1.4217,                 1.3567,                0.94365,                0.79759,                0.90278,                0.45097,                 1.6891,                 1.5619,                 1.4522,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5566,                 1.3373,                  1.371,                0.91876,                0.80789,                 0.8846,                 0.4507,                 1.7898,                 1.5106,                 1.4977,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.4629,                 1.2096,                 1.3504,                0.89706,                0.83333,                0.90087,                0.43308,                 1.7139,                 1.4598,                 1.4089,                0.00101,                0.00101,                0.00101
                     28,                 1.5044,                  1.233,                 1.3288,                0.73064,                 0.7619,                0.79447,                0.36986,                 1.8059,                  1.685,                 1.4902,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4676,                 1.3792,                 1.3635,                0.86778,                0.78144,                0.86983,                0.41952,                 1.6924,                 1.7877,                 1.4127,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.4564,                 1.2863,                 1.3547,                 0.8965,                0.80952,                0.89621,                0.48092,                 1.5841,                  1.476,                 1.3552,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4086,                 1.2134,                 1.3471,                0.98314,                0.69048,                0.87582,                0.45462,                 1.6426,                 1.4275,                 1.4048,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3499,                 1.1712,                 1.2676,                0.94525,                0.82236,                0.86053,                0.45478,                 1.6912,                 1.5226,                 1.4137,               0.000812,               0.000812,               0.000812
                     33,                  1.393,                 1.1535,                 1.2935,                0.97143,                0.80945,                0.83721,                0.45522,                 1.6649,                 1.4448,                 1.3872,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.3661,                 1.0274,                 1.2587,                0.96965,                0.76084,                0.83179,                0.44914,                 1.7203,                 1.4097,                  1.408,              0.0007328,              0.0007328,              0.0007328
